District Number,District,School,Address,Latitude,Longitude,Test-takers: 2012,Test-takers: 2013,Test-takers: Change%,Participation Rate (estimate): 2012,Participation Rate (estimate): 2013,Participation Rate (estimate): Change%,Percent Meeting Benchmark: 2012,Percent Meeting Benchmark: 2013,Percent Meeting Benchmark: Change%
746111,Litchfield,Litchfield High School,"Litchfield High School, CT",41.7423231,-73.2067537,90,76,-0.16,0.86,0.72,-0.14,0.68,0.50,-0.18
766111,Madison,Daniel Hand High School,"Daniel Hand High School, CT",41.2928204,-72.6193037,294,296,0.01,0.90,0.90,0.00,0.64,0.72,0.08
776111,Manchester,Manchester High School,"Manchester High School, CT",41.7815756,-72.51734,267,251,-0.06,0.67,0.63,-0.04,0.30,0.31,0.01
806111,Meriden,Francis T Maloney High School,"Francis T Maloney High School, CT",41.5318068,-72.7728953,146,143,-0.02,0.53,0.52,-0.01,0.28,0.37,0.09
806211,Meriden,Orville H Platt High School,"Orville H Platt High School, CT",41.5340038,-72.8267207,132,125,-0.05,0.56,0.53,-0.03,0.21,0.19,-0.02
809911,Meriden,"Another School ""Alternative Education Program""","Another School ""Alternative Education Program"", CT",41.3287622,-73.0613082,7,*,*,*,*,*,*,*,*
836211,Middletown,Middletown High School,"Middletown High School, CT",41.576121,-72.6788279,213,238,0.12,0.76,0.84,0.08,0.33,0.35,0.02
846211,Milford,Jonathan Law High School,"Jonathan Law High School, CT",41.203944,-73.0888519,175,168,-0.04,0.68,0.65,-0.03,0.37,0.35,-0.02
846311,Milford,Joseph A Foran High School,"Joseph A Foran High School, CT",41.2192589,-73.0128241,200,217,0.09,0.82,0.89,0.07,0.41,0.37,-0.04
856111,Monroe,Masuk High School,"Masuk High School, CT",41.3489066,-73.1942808,308,277,-0.10,0.88,0.79,-0.09,0.53,0.48,-0.05
866111,Montville,Montville High School,"Montville High School, CT",41.4573862,-72.1637177,130,112,-0.14,0.64,0.55,-0.09,0.37,0.43,0.06
886111,Naugatuck,Naugatuck High School,"Naugatuck High School, CT",41.4917655,-73.0719153,206,180,-0.13,0.56,0.49,-0.07,0.31,0.23,-0.08
896111,New Britain,New Britain High School,"New Britain High School, CT",41.6499035,-72.7780388,235,204,-0.13,0.45,0.39,-0.06,0.24,0.25,0.01
906111,New Canaan,New Canaan High School,"New Canaan High School, CT",41.1286974,-73.4895453,306,310,0.01,0.93,0.94,0.01,0.82,0.83,0.01
916111,New Fairfield,New Fairfield High School,"New Fairfield High School, CT",41.461007,-73.5076093,208,220,0.06,0.90,0.96,0.06,0.61,0.52,-0.09
936011,New Haven,Metropolitan Business Academy,"Metropolitan Business Academy, CT",41.3011808,-72.9188338,37,77,1.08,0.97,1.00,0.03,0.05,0.03,-0.02
936111,New Haven,Wilbur Cross High School,"Wilbur Cross High School, CT",41.3239572,-72.9076071,210,165,-0.21,0.62,0.49,-0.13,0.18,0.21,0.03
936211,New Haven,James Hillhouse High School,"James Hillhouse High School, CT",41.3222521,-72.9394501,157,186,0.18,1.00,1.00,0.00,0.04,0.04,0.00
936311,New Haven,Hill Regional Career Magnet High School,"Hill Regional Career Magnet High School, CT",41.3056536,-72.9407046,149,150,0.01,1.00,1.00,0.00,0.14,0.15,0.01
936411,New Haven,Cooperative Arts/human Magnet,"Cooperative Arts/human Magnet, CT",41.3054918,-72.929631,113,160,0.42,0.86,1.00,0.14,0.12,0.16,0.04
936511,New Haven,Polly T McCabe Center,"Polly T McCabe Center, CT",41.3248618,-72.9222151,*,*,*,*,*,*,*,*,*
936611,New Haven,High School in the Community,"High School in the Community, CT",41.301877,-72.9222607,37,58,0.57,0.86,1.00,0.14,0.05,0.02,-0.03
936711,New Haven,Sound School,"Sound School, CT",41.2817948,-72.9285531,70,71,0.01,0.86,0.88,0.02,0.23,0.13,-0.10
936811,New Haven,Hyde Leadership School,"Hyde Leadership School, CT",41.2884189,-72.9262465,37,30,-0.19,0.86,0.70,-0.16,0.00,0.00,0.00
936911,New Haven,Riverside Education Academy,"Riverside Education Academy, CT",41.2937663,-72.9454568,12,14,0.17,1.00,1.00,0.00,0.00,0.00,0.00
937011,New Haven,New Haven Academy,"New Haven Academy, CT",41.312946,-72.918814,30,62,1.07,1.00,1.00,0.00,0.20,0.06,-0.14
946111,Newington,Newington High School,"Newington High School, CT",41.7008554,-72.7357328,248,283,0.14,0.70,0.80,0.10,0.50,0.47,-0.03
956111,New London,New London High School,"New London High School, CT",41.3585677,-72.1218474,117,131,0.12,0.58,0.65,0.07,0.18,0.16,-0.02
966111,New Milford,New Milford High School,"New Milford High School, CT",41.5270263,-73.4247323,306,298,-0.03,0.86,0.84,-0.02,0.53,0.48,-0.05
976111,Newtown,Newton High School,"Newton High School, CT",41.4099636,-73.2711026,343,392,0.14,0.86,0.99,0.13,0.61,0.61,0.00
996111,North Branford,North Branford High School,"North Branford High School, CT",41.3359304,-72.8003763,132,143,0.08,0.83,0.89,0.06,0.43,0.43,0.00
1016111,North Haven,North Haven High School,"North Haven High School, CT",41.3732322,-72.8633704,234,237,0.01,0.83,0.84,0.01,0.44,0.42,-0.02
1026111,North Stonington,Wheeler Middle/High School,"Wheeler Middle/High School, CT",41.4395732,-71.8858121,35,39,0.11,0.67,0.75,0.08,0.46,0.41,-0.05
1036111,Norwalk,Norwalk High School,"Norwalk High School, CT",41.1222631,-73.389911,262,246,-0.06,0.78,0.73,-0.05,0.36,0.39,0.03
