District Number,District,School,Address,Latitude,Longitude,Test-takers: 2012,Test-takers: 2013,Test-takers: Change%,Participation Rate (estimate): 2012,Participation Rate (estimate): 2013,Participation Rate (estimate): Change%,Percent Meeting Benchmark: 2012,Percent Meeting Benchmark: 2013,Percent Meeting Benchmark: Change%
1556111,West Hartford,Conard High School,"Conard High School, CT",41.7361993,-72.7515446,290,377,0.30,0.89,1.00,0.11,0.50,0.57,0.07
1556211,West Hartford,Hall High School,"Hall High School, CT",41.7943418,-72.7510632,332,331,0.00,0.87,0.87,0.00,0.63,0.60,-0.03
1566111,West Haven,West Haven High School,"West Haven High School, CT",41.2594427,-72.9586057,203,222,0.09,0.69,0.75,0.06,0.21,0.19,-0.02
1576111,Weston,Weston High School,"Weston High School, CT",41.210428,-73.3780535,156,149,-0.04,0.83,0.79,-0.04,0.81,0.83,0.02
1586111,Westport,Staples High School,"Staples High School, CT",41.1544307,-73.328314,363,376,0.04,0.85,0.88,0.03,0.81,0.84,0.03
1596111,Wethersfield,Wethersfield High School,"Wethersfield High School, CT",41.7074175,-72.6711394,223,213,-0.04,0.77,0.73,-0.04,0.48,0.55,0.07
1616111,Wilton,Wilton High School,"Wilton High School, CT",41.2108055,-73.4334808,301,300,0.00,0.95,0.95,0.00,0.82,0.81,-0.01
1636111,Windham,Windham High School,"Windham High School, CT",41.723156,-72.2147817,73,99,0.36,0.45,0.60,0.15,0.27,0.34,0.07
1646111,Windsor,Windsor High School,"Windsor High School, CT",41.8443326,-72.6551022,231,247,0.07,0.85,0.91,0.06,0.26,0.28,0.02
1656111,Windsor Locks,Windsor Locks High School,"Windsor Locks High School, CT",41.9213507,-72.6430531,83,92,0.11,0.55,0.61,0.06,0.37,0.28,-0.09
1666111,Wolcott,Wolcott High School,"Wolcott High School, CT",41.6070419,-72.9795493,173,175,0.01,0.77,0.78,0.01,0.39,0.42,0.03
2016112,Regional 01,Housatonic Valley Regional High School,"Housatonic Valley Regional High School, CT",41.9370764,-73.3623039,99,67,-0.32,0.72,0.49,-0.23,0.40,0.43,0.03
2046112,Regional 04,Valley Regional High School,"Valley Regional High School, CT",41.3712395,-72.4474055,113,120,0.06,0.73,0.78,0.05,0.62,0.69,0.07
2056112,Regional 05,Amity Regional High School,"Amity Regional High School, CT",41.3575551,-73.0077248,381,348,-0.09,0.87,0.80,-0.07,0.61,0.63,0.02
2066112,Regional 06,Wamogo Regional High School,"Wamogo Regional High School, CT",41.7280262,-73.2252195,65,68,0.05,0.76,0.80,0.04,0.49,0.46,-0.03
2076112,Regional 07,Northwestern Regional High School,"Northwestern Regional High School, CT",41.9133932,-73.0471688,139,131,-0.06,0.76,0.71,-0.05,0.58,0.51,-0.07
2086112,Regional 08,Rham High School,"Rham High School, CT",41.6644022,-72.3647604,237,223,-0.06,0.82,0.77,-0.05,0.62,0.69,0.07
2096112,Regional 09,Joel Barlow High School,"Joel Barlow High School, CT",41.2996665,-73.3390684,220,220,0.00,0.90,0.90,0.00,0.68,0.70,0.02
2106112,Regional 10,Lewis S Mills High School,"Lewis S Mills High School, CT",41.7806338,-72.9878355,192,159,-0.17,0.84,0.69,-0.15,0.49,0.65,0.16
2116112,Regional 11,Parish Hill High School,"Parish Hill High School, CT",41.7511213,-72.1053861,25,21,-0.16,0.63,0.53,-0.10,0.32,0.52,0.20
2126112,Regional 12,Shepaug Valley High School,"Shepaug Valley High School, CT",41.6017389,-73.3059186,49,73,0.49,0.71,1.00,0.29,0.53,0.58,0.05
