,,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,text1,text2,text3,text4,text5,text6,text7,text8,text9,text10,text11,text12,text13,text14,text15,text16,text17,text18,text19,text20,text21,text22,text23,text24,text25,text26,text27,text28,text29,text30,text31,text32,text33,text34,text35,text36,text37,text38,text39,text40,text41,text42,text43,text44,text45,text46,text47,text48,text49,text50,text51,text52,text53,text54,text55,text56,text57,text58,text59,text60,text61,text62,text63,text64,text65,text66,text67,text68,text69,text70,text71,text72,text73,text74,text75,text76,text77,text78,text79,text80,text81,text82,text83,text84,text85,text86,text87,text88,text89,text90,text91,text92,text93,text94,text95,text96,text97,text98,text99,text100,text101,text102,text103,text104,text105,text106,text107,text108,text109,text110,text111,text112,text113,text114
11,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",HistoryInACan,3,TRUE,FALSE,NA,NA,RT,@QuitcherBitchyn:,These,senators,will,decide,judge,#Kavanaugh,'s,fate.,@SenatorCollins,@lisamurkowski,@JeffFlake,Be,in,touch,with,them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MAGA4Patriots,298,TRUE,FALSE,NA,NA,RT,@darhar981:,<U+0001F4E3>#LindseyGraham,Explodes,On,#SenateCommittee,Over,#Kavanaugh,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",staines_andyjoy,2677,TRUE,FALSE,NA,NA,RT,@JessieJaneDuff:,Never,compare,#ChristineBlaseyFord,to,a,U.S.,Marine.,Let,me,introduce,myself,and,I'll,show,you,TRUE,bravery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",devinecelt,1,TRUE,FALSE,NA,NA,RT,@atkins_juana:,'ARE,YOU,A,GANG,RAPIST?':,Sen.,Lindsey,Graham,goes,off,during,#Kavanaugh...,https://t.co/WkMMS7BUOv,via,@YouTube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BonnieMHancock,2677,TRUE,FALSE,NA,NA,RT,@JessieJaneDuff:,Never,compare,#ChristineBlaseyFord,to,a,U.S.,Marine.,Let,me,introduce,myself,and,I'll,show,you,TRUE,bravery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",crews_elinor,2472,TRUE,FALSE,NA,NA,RT,@RepSwalwell:,By,most,accounts,the,<U+2018>91,Anita,Hill,hearing,for,Justice,Thomas,was,a,disgrace.,The,story,of,America,is,progress.,Over,20<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",ea29,57,TRUE,FALSE,NA,NA,RT,@activist_mommy:,Couldn't,resist!,<U+0001F60F><U+0001F609>,#GrahamSlam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MagyarBear,8286,TRUE,FALSE,NA,NA,RT,@MalcolmNance:,#Kavanaugh,visible,arrogance,unchecked,public,rage,and,haughty,sense,of,entitlement,is,disgraceful.,This,great,nation,de<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",thetalentscout,5,TRUE,FALSE,NA,NA,RT,@gerfingerpoken:,Cowardly,Feinstein,Makes,Sure,Judge,Kavanaugh,Meets,His,Anita,Hill,-,American,Thinker,https://t.co/tNC8hrv4NW,#Kavan<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",notsofastlane56,149,TRUE,FALSE,NA,NA,RT,@BasedBasterd:,Do,your,civic,duty,&amp,what,we,voted,you,in,office,to,do,...<U+0001F447><U+0001F3FC>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
